Country Name,HDI,Gender Inequality Index,GDP per Capita,Population,Natural Increase Rate,Life Expectancy,Percentage in the Tertiary,Physiological Density,Latitude,Longitude
Afghanistan,0.511,0.655,509,42500000,2.3,64.8,10,1175,33.93911,67.709953
Albania,0.796,0.079,6460,2870000,0.3,78.5,55,208,41.153332,20.168331
Algeria,0.745,0.429,4074,45200000,1.6,77.1,35,188,28.033886,1.659626
Andorra,0.868,0.049,49488,79000,0.1,84.7,62,66,42.546245,1.601554
Angola,0.586,0.581,2547,36200000,3.3,61.2,8,180,-11.202692,17.873887
Argentina,0.849,0.353,10024,46000000,0.9,76.7,80,45,-38.416097,-63.616672
Armenia,0.759,0.255,6253,2800000,0.2,75.1,51,153,40.069099,45.038189
Australia,0.951,0.099,64263,26400000,1.3,84.5,91,3,-25.274398,133.775136
Austria,0.916,0.066,53790,8980000,0.2,82.3,78,109,47.516231,14.550072
Azerbaijan,0.756,0.322,5018,10300000,0.8,73.5,36,122,40.143105,47.576927
Bahamas,0.812,0.343,31338,400000,0.6,74.8,52,90,25.03428,-77.39628
Bahrain,0.852,0.192,27489,1800000,1.5,78.3,41,678,25.930414,50.637772
Bangladesh,0.661,0.538,2696,171000000,1.1,73.7,20,1385,23.684994,90.356331
Barbados,0.814,0.342,18901,280000,0,78.2,68,682,13.193887,-59.543198
Belarus,0.808,0.142,7175,9300000,-0.1,73.4,87,48,53.709807,27.953389
Belgium,0.921,0.048,56194,11600000,0.1,81.9,70,381,50.503887,4.469936
Belize,0.716,0.435,4971,420000,1.6,74.1,32,20,17.189877,-88.49765
Benin,0.545,0.611,1374,13600000,2.8,61.5,12,229,9.30769,2.315834
Bhutan,0.666,0.417,3621,800000,1.2,72.5,25,50,27.514162,90.433601
Bolivia,0.703,0.478,3511,12400000,1.8,71.3,39,98,-16.290154,-63.588653
Bosnia and Herzegovina,0.8,0.185,7239,3200000,0,77.5,59,68,43.915886,17.679076
Botswana,0.735,0.465,7035,2700000,1.5,69.6,22,6,-22.328474,24.684866
Brazil,0.754,0.408,9154,216000000,0.7,75.9,50,25,-14.235004,-51.92528
Brunei,0.83,0.205,31517,450000,1.3,77.2,33,91,4.535277,114.727669
Bulgaria,0.796,0.145,13128,6600000,-0.7,74.9,72,79,42.733883,25.48583
Burkina Faso,0.452,0.597,962,23400000,2.9,61,8,170,12.238333,-1.561593
Burundi,0.426,0.577,267,13700000,3.1,62.1,7,402,-3.373056,29.918886
Cambodia,0.594,0.478,1817,18000000,1.4,70.5,17,258,12.565679,104.990963
Cameroon,0.563,0.56,1632,29000000,2.7,59.8,12,143,7.369722,12.354722
Canada,0.936,0.082,59474,39000000,1.1,82.9,71,4,56.130366,-106.346771
Central African Republic,0.397,0.643,523,5600000,2,54.5,5,47,6.611111,20.939444
Chad,0.394,0.711,751,18300000,3.3,55.1,3,63,15.454166,18.732207
Chile,0.855,0.279,16872,19600000,0.6,80.1,89,63,-35.675147,-71.542969
China,0.768,0.168,12845,1410000000,0.3,78.2,56,1147,35.86166,104.195397
Colombia,0.752,0.421,7034,51900000,1.1,74.3,53,48,4.570868,-74.297333
